school_code,school_name,subject,batch,major_code,major_name,field_name,current_value,new_value,source,match_type,confidence,diff_type
6215,甘肃政法大学,历史,本二,ZK,司法鉴定学,yearly.2024,best_match=法学(code=3A),"min=542,rank=13989",01_专业分数线_2024,confidence,0.4034,numeric_large
3428,安徽中医药大学,历史,本二,31,护理学,yearly.2024,best_match=中医学(code=06),"min=540,rank=14845",01_专业分数线_2024,confidence,0.32,numeric_large
5574,重庆中医药学院,历史,本二,06,中西医临床医学,yearly.2024,best_match=中医学(code=01),"min=538,rank=15761",01_专业分数线_2024,confidence,0.36,numeric_large
5308,云南中医药大学,历史,本二,0U,中医康复学,yearly.2024,best_match=中医学(code=0R),"min=538,rank=15761",01_专业分数线_2024,confidence,0.45,numeric_large
5308,云南中医药大学,历史,本二,0Y,中西医临床医学,yearly.2024,best_match=中医学(code=0R),"min=538,rank=15761",01_专业分数线_2024,confidence,0.36,numeric_large
1421,山西中医药大学,历史,本二,07,中西医临床医学,yearly.2024,best_match=中医学(code=01),"min=538,rank=15761",01_专业分数线_2024,confidence,0.46,numeric_large
3704,山东政法学院,历史,本二,0N,商务英语,yearly.2024,best_match=英语(code=0N),"min=536,rank=16710",01_专业分数线_2024,confidence,0.55,numeric_large
2218,吉林财经大学,历史,本二,02,审计学,yearly.2024,best_match=会计学(code=01),"min=536,rank=16710",01_专业分数线_2024,confidence,0.4706,numeric_large
6129,西安邮电大学,历史,本二,86,邮政管理,yearly.2024,best_match=工商管理(code=L3),"min=535,rank=17223",01_专业分数线_2024,confidence,0.45,numeric_large
5137,成都大学,历史,本二,08,特殊教育,yearly.2024,best_match=小学教育(code=07),"min=534,rank=17719",01_专业分数线_2024,confidence,0.45,numeric_large
5401,西藏大学,历史,本二,11,行政管理,yearly.2024,best_match=旅游管理(code=14),"min=534,rank=17719",01_专业分数线_2024,confidence,0.3529,numeric_large
6139,陕西理工大学,历史,本二,10,汉语言文学,yearly.2024,best_match=英语(code=12),"min=534,rank=17719",01_专业分数线_2024,confidence,0.3214,numeric_large
2123,辽宁师范大学,历史,本二,H1,思想政治教育,yearly.2024,best_match=汉语国际教育(code=P2),"min=534,rank=17719",01_专业分数线_2024,confidence,0.35,numeric_large
5126,成都师范学院,历史,本二,04,思想政治教育,yearly.2024,best_match=艺术教育(code=05),"min=533,rank=18257",01_专业分数线_2024,confidence,0.39,numeric_large
3715,鲁东大学,历史,本二,05,汉语言文学,yearly.2024,best_match=英语(code=13),"min=533,rank=18257",01_专业分数线_2024,confidence,0.3214,numeric_large
