school_code,school_name,subject,batch,major_code,major_name,field_name,current_value,new_value,source,match_type,confidence,diff_type
0391,中华女子学院,—,—,—,—,location.address,校本部: 北京市朝阳区育慧东路1号 | 北校区: 北京市昌平区科技园区创新路20号,"北京市朝阳区育慧东路1号
邮编：100101",02_简介,exact,1.0,text_major
0013,中国传媒大学,—,—,—,—,location.address,中国传媒大学: 北京市朝阳区定福庄东街一号,北京朝阳区定福庄东街一号,02_简介,exact,1.0,text_major
0002,中国人民大学,—,—,—,—,location.address,校本部: 北京市海淀区中关村大街59号 | 苏州校区: 江苏省苏州工业园区仁爱路158号 | 通州校区: 北京市通州区潞城镇 | 老校区: 北京市东城区张自忠路3号,北京市海淀区中关村大街59号,02_简介,exact,1.0,text_major
0008,中国农业大学,—,—,—,—,location.address,东校区: 北京市海淀区清华东路17号 | 西校区: 北京市海淀区圆明园西路2号 | 烟台校区: 山东省烟台市莱山区滨海中路2006号,"东区地址：北京市海淀区清华东路17号        100083

西区地址：北京市海淀区圆明园西路2号       100193",02_简介,exact,1.0,text_major
0064,中国地质大学(北京),—,—,—,—,location.address,中国地质大学(北京): 北京市海淀区学院路29号,通讯地址：北京市海淀区学院路29号中国地质大学（北京）招生办公室 邮政编码：100083 办公地点：中国地质大学（北京）综合办公楼303室,02_简介,exact,1.0,text_major
0397,中国劳动关系学院,—,—,—,—,location.address,北京校址: 北京市海淀区增光路45号 | 涿州校址: 河北省保定市涿州市东城坊镇,北京市海淀区增光路45号,02_简介,exact,1.0,text_major
1114,中国戏曲学院,—,—,—,—,location.address,中国戏曲学院: 北京市丰台区万泉寺400号,北京市丰台区万泉寺400号,02_简介,exact,1.0,text_major
0016,中国政法大学,—,—,—,—,location.address,海淀校区: 北京市海淀区西土城路25号 | 昌平校区: 北京市昌平区府学路27号,北京市昌平区府学路27号,02_简介,exact,1.0,text_major
0096,中国消防救援学院,—,—,—,—,location.address,中国消防救援学院: 北京市昌平区南雁路4号,北京市昌平区南雁路4号,02_简介,exact,1.0,text_major
0063,中国石油大学(北京),—,—,—,—,location.address,北京西校区: 北京市昌平区府学路18号 | 克拉玛依校区: 新疆维吾尔自治区克拉玛依市安定路355号 | 北京东校区: 北京市昌平区南环路15号,北京校本部 联系电话：010-89733245 地址：北京市昌平区府学路18号中国石油大学（北京）本科招生办公室 邮编：102249 克拉玛依校区 联系电话：0990-6633036 地址：新疆维吾尔自治区克拉玛依市安定路355号中国石油大学（北京）克拉玛依校区招生办公室 邮编：834000,02_简介,exact,1.0,text_major
