school_code,school_name,subject,batch,major_code,major_name,field_name,current_value,new_value,source,match_type,confidence,diff_type
0008,中国农业大学,—,—,—,—,basic.type,综合 农林,农林,02_院校库,exact,1.0,text_major
0013,中国传媒大学,—,—,—,—,basic.type,艺术 语言,语言,02_院校库,exact,1.0,text_major
0018,天津大学,—,—,—,—,basic.type,理工,综合,02_院校库,exact,1.0,text_major
0022,东北师范大学,—,—,—,—,basic.type,综合 师范,师范,02_院校库,exact,1.0,text_major
0028,东华大学,—,—,—,—,basic.type,理工,综合,02_院校库,exact,1.0,text_major
0029,华东师范大学,—,—,—,—,basic.type,师范,综合,02_院校库,exact,1.0,text_major
0051,华南理工大学,—,—,—,—,basic.type,理工,综合,02_院校库,exact,1.0,text_major
0054,西南交通大学,—,—,—,—,basic.type,综合 理工,理工,02_院校库,exact,1.0,text_major
0060,陕西师范大学,—,—,—,—,basic.type,综合 师范,师范,02_院校库,exact,1.0,text_major
0065,西北农林科技大学,—,—,—,—,basic.type,综合 农林,农林,02_院校库,exact,1.0,text_major
0068,中南财经政法大学,—,—,—,—,basic.type,财经 政法,财经,02_院校库,exact,1.0,text_major
0077,北京大学医学部,—,—,—,—,basic.type,医药,综合,02_院校库,exact,1.0,text_major
0080,上海交通大学医学院,—,—,—,—,basic.type,医药,综合,02_院校库,exact,1.0,text_major
0090,合肥工业大学(宣城校区),—,—,—,—,basic.type,理工,综合,02_院校库,exact,1.0,text_major
0095,北京协和医学院,—,—,—,—,basic.authority,国家卫健委,国卫委,02_院校库,exact,1.0,text_major
0096,中国消防救援学院,—,—,—,—,basic.authority,应急管理部,应管部,02_院校库,exact,1.0,text_major
0211,北京师范大学(珠海校区),—,—,—,—,basic.type,师范,综合,02_院校库,exact,1.0,text_major
0211,北京师范大学(珠海校区),—,—,—,—,basic.authority,省教育厅,教育部,02_院校库,exact,1.0,text_major
0310,北京体育大学,—,—,—,—,basic.authority,国家体育总局,国体局,02_院校库,exact,1.0,text_major
0315,中央民族大学,—,—,—,—,basic.authority,国家民委,国民委,02_院校库,exact,1.0,text_major
0345,中国科学技术大学,—,—,—,—,basic.type,理工,综合,02_院校库,exact,1.0,text_major
0346,中国科学院大学,—,—,—,—,basic.type,综合 理工,综合,02_院校库,exact,1.0,text_major
0347,华侨大学,—,—,—,—,basic.authority,中央统战部,统战部,02_院校库,exact,1.0,text_major
0351,中南民族大学,—,—,—,—,basic.authority,国家民委,国民委,02_院校库,exact,1.0,text_major
0353,暨南大学,—,—,—,—,basic.authority,中央统战部,统战部,02_院校库,exact,1.0,text_major
0357,西南民族大学,—,—,—,—,basic.authority,国家民委,国民委,02_院校库,exact,1.0,text_major
0363,西北民族大学,—,—,—,—,basic.authority,国家民委,国民委,02_院校库,exact,1.0,text_major
0369,应急管理大学,—,—,—,—,basic.authority,应急管理部,应管部,02_院校库,exact,1.0,text_major
0371,大连民族大学,—,—,—,—,basic.authority,国家民委,国民委,02_院校库,exact,1.0,text_major
0373,北方民族大学,—,—,—,—,basic.authority,国家民委,国民委,02_院校库,exact,1.0,text_major
0381,防灾科技学院,—,—,—,—,basic.authority,中国地震局,地震局,02_院校库,exact,1.0,text_major
0391,中华女子学院,—,—,—,—,basic.authority,中华妇女联合会,全国妇联,02_院校库,exact,1.0,text_major
0397,中国劳动关系学院,—,—,—,—,basic.authority,中华全国总工会,全国总工会,02_院校库,exact,1.0,text_major
1101,北京工业大学,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1102,北方工业大学,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1103,北京服装学院,—,—,—,—,basic.type,理工,艺术,02_院校库,exact,1.0,text_major
1103,北京服装学院,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1104,北京印刷学院,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1105,北京石油化工学院,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1106,首都医科大学,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1107,首都师范大学,—,—,—,—,basic.type,综合 师范,师范,02_院校库,exact,1.0,text_major
1107,首都师范大学,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1108,首都体育学院,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1109,北京建筑大学,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1110,北京第二外国语学院,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1111,北京物资学院,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1114,中国戏曲学院,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1115,北京电影学院,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1116,北京舞蹈学院,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1119,北京联合大学,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1120,北京工商大学,—,—,—,—,basic.type,综合,财经,02_院校库,exact,1.0,text_major
1120,北京工商大学,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1121,首都经济贸易大学,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1123,北京信息科技大学,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1148,北京农学院,—,—,—,—,basic.authority,北京市政府,市政府,02_院校库,exact,1.0,text_major
1160,北京经贸职业学院,—,—,—,—,basic.authority,北京市教委,市教委,02_院校库,exact,1.0,text_major
1161,民政职业大学,—,—,—,—,basic.authority,民政部,市政府,02_院校库,exact,1.0,text_major
1169,北京培黎职业学院,—,—,—,—,basic.authority,北京市教委,市教委,02_院校库,exact,1.0,text_major
1171,北京经济技术职业学院,—,—,—,—,basic.authority,北京市教委,市教委,02_院校库,exact,1.0,text_major
1181,首都师范大学科德学院,—,—,—,—,basic.authority,北京市教委,市教委,02_院校库,exact,1.0,text_major
1182,北京金融科技学院,—,—,—,—,basic.authority,北京市教委,市教委,02_院校库,exact,1.0,text_major
1183,北京邮电大学世纪学院,—,—,—,—,basic.type,财经,综合,02_院校库,exact,1.0,text_major
1183,北京邮电大学世纪学院,—,—,—,—,basic.authority,北京市教委,市教委,02_院校库,exact,1.0,text_major
1184,北京工业大学耿丹学院,—,—,—,—,basic.authority,北京市教委,市教委,02_院校库,exact,1.0,text_major
